CLASS_NM,BASE_YY,SIDO_NM,KIN_CLSNT,ELEM_CLSNT,MID_CLSNT,HIGH_CLSNT,KIN_STDNT,ELEM_STDNT,MID_STDNT,HIGH_STDNT
일반학급,2010,강원,50,137,121,54,56,152,149,66
일반학급,2010,경기,248,944,496,794,275,1004,523,910
일반학급,2010,경남,114,472,244,285,123,528,268,320
일반학급,2010,경북,72,313,160,101,78,395,204,149
일반학급,2010,광주,41,116,42,38,47,134,42,43
일반학급,2010,대구,88,207,166,281,102,207,173,292
일반학급,2010,대전,58,289,158,132,59,307,173,147
일반학급,2010,부산,215,189,102,165,237,244,134,172
일반학급,2010,서울,175,679,387,542,196,749,441,619
일반학급,2010,울산,47,307,152,153,57,312,155,174
일반학급,2010,인천,106,167,108,89,112,173,128,97
일반학급,2010,전남,31,121,122,103,36,131,140,112
일반학급,2010,전북,59,313,193,132,67,333,210,153
일반학급,2010,제주,33,116,33,68,36,128,38,59
일반학급,2010,충남,69,265,115,153,76,283,139,163
일반학급,2010,충북,53,210,166,216,59,233,183,241
일반학급,2011,강원,36,174,137,86,39,189,176,107
일반학급,2011,경기,217,992,546,794,244,1023,590,867
일반학급,2011,경남,120,513,311,341,139,545,345,386
일반학급,2011,경북,52,369,222,219,57,396,241,238
일반학급,2011,광주,62,147,70,45,66,152,75,50
일반학급,2011,대구,104,219,160,296,110,223,166,313
일반학급,2011,대전,68,270,167,158,79,285,182,166
일반학급,2011,부산,250,353,219,167,295,364,223,170
일반학급,2011,서울,194,708,407,529,223,739,446,552
일반학급,2011,울산,38,312,166,164,40,317,172,189
일반학급,2011,인천,127,194,123,119,135,200,148,132
일반학급,2011,전남,42,118,141,116,45,126,124,125
일반학급,2011,전북,53,327,198,182,55,347,219,211
일반학급,2011,제주,37,174,80,71,40,182,88,78
일반학급,2011,충남,22,232,82,121,26,241,97,136
일반학급,2011,충북,59,247,172,240,67,266,186,288
일반학급,2012,강원,34,160,159,88,41,181,189,116
일반학급,2012,경기,256,1027,578,820,273,1068,614,892
일반학급,2012,경남,103,496,355,354,117,518,401,397
일반학급,2012,경북,60,359,227,221,63,380,255,250
일반학급,2012,광주,68,170,91,67,76,177,95,78
일반학급,2012,대구,107,265,217,290,112,268,229,303
일반학급,2012,대전,70,266,168,171,78,278,177,181
일반학급,2012,부산,226,457,287,206,279,474,292,228
일반학급,2012,서울,181,751,501,550,195,771,529,589
