BASE_YY,CLASS_NM,SIDO_NM,유_특수1정_CNT1,유_특수2정_CNT1,유_일반_CNT1,초_특수1정_CNT1,초_특수2정_CNT1,초_일반_CNT1,중고_특수1정_CNT1,중고_특수2정_CNT1,중고_일반_CNT1
2010,특수학교,서울,64,16,0,274,116,9,418,266,34
2010,특수학교,부산,25,23,0,93,48,2,90,101,25
2010,특수학교,대구,2,4,0,77,22,7,116,71,39
2010,특수학교,인천,7,3,0,69,20,0,101,60,2
2010,특수학교,광주,0,4,0,49,23,0,93,76,6
2010,특수학교,대전,6,2,0,39,14,0,62,40,1
2010,특수학교,울산,2,2,0,22,17,0,71,26,1
2010,특수학교,경기,33,27,3,211,81,1,357,251,2
2010,특수학교,강원,5,3,0,40,29,1,92,72,8
2010,특수학교,충북,8,10,0,56,33,1,115,78,15
2010,특수학교,충남,5,10,0,31,33,0,81,63,16
2010,특수학교,전북,6,6,0,36,32,0,102,41,4
2010,특수학교,전남,6,1,0,34,26,0,71,50,11
2010,특수학교,경북,6,2,0,72,27,1,119,73,43
2010,특수학교,경남,8,2,0,84,24,0,126,61,42
2010,특수학교,제주,2,1,0,30,13,0,50,30,5
2011,특수학교,서울,52,20,2,288,103,7,459,257,27
2011,특수학교,부산,24,26,0,93,48,0,94,103,21
2011,특수학교,대구,2,5,0,78,38,5,127,79,30
2011,특수학교,인천,7,5,0,70,19,0,103,56,6
2011,특수학교,광주,0,4,0,48,19,0,99,98,3
2011,특수학교,대전,5,4,0,38,13,0,66,45,0
2011,특수학교,울산,3,2,0,26,14,0,66,28,1
2011,특수학교,경기,32,28,4,243,109,0,382,322,5
2011,특수학교,강원,6,2,0,43,25,5,92,69,10
2011,특수학교,충북,13,5,0,59,28,0,122,79,9
2011,특수학교,충남,4,11,0,35,27,0,77,72,15
2011,특수학교,전북,6,8,0,43,34,0,104,73,3
2011,특수학교,전남,5,2,0,39,23,0,70,56,10
2011,특수학교,경북,6,1,0,67,30,2,110,81,47
2011,특수학교,경남,5,4,0,85,19,1,116,93,53
